Date,Open,High,Low,Close,Adj Close,Volume
2004-08-23,81.481834,81.692162,80.927345,80.927345,47.594948,4456588
2004-08-24,81.261948,81.405357,80.640533,80.984703,47.628696,2835078
2004-08-25,81.261948,81.520073,80.831741,81.328873,47.831108,4608258
2004-08-26,81.261948,81.300194,80.965584,80.965584,47.617439,3278582
2004-08-27,80.927345,81.214149,80.869980,81.204590,47.758007,2557261
2004-08-30,80.850861,81.252388,80.678780,80.688339,47.454376,2382683
2004-08-31,80.831741,80.965584,79.971321,80.965584,47.617439,3555877
2004-09-01,80.353729,81.347992,80.315491,80.516251,47.353203,4966931
2004-09-02,80.516251,81.051628,80.162521,80.850861,47.549988,3535898
2004-09-03,80.592735,80.965584,80.267685,80.678780,47.448765,3639871
2004-09-07,80.975143,81.682602,80.879539,81.233269,47.774891,4186929
2004-09-08,81.166351,82.705544,81.147224,82.084129,48.275276,5984375
2004-09-09,82.084129,82.973228,82.084129,82.638626,48.601387,4725200
2004-09-10,82.629066,83.173996,82.456978,82.944550,48.781338,3926161
2004-09-13,83.173996,83.441681,82.294456,82.686424,48.629486,5022264
2004-09-14,82.791588,83.059273,82.361374,82.906311,48.758808,4135361
2004-09-15,82.160614,82.695984,82.112808,82.571701,48.562027,4844235
2004-09-16,82.409180,83.135757,82.151054,82.332695,48.421474,3789658
2004-09-17,82.600380,82.695984,81.682602,81.969406,48.207813,6483840
2004-09-20,81.644356,82.629066,81.644356,81.931168,48.185318,4581898
2004-09-21,81.931168,82.323135,81.586998,81.950287,48.196556,4235986
2004-09-22,81.596558,81.682602,80.468452,80.602295,47.403790,5268807
2004-09-23,80.344170,80.564056,79.579353,80.191208,47.162014,5022055
2004-09-24,80.114723,81.013382,80.095604,80.717018,47.471256,5124877
2004-09-27,80.401527,80.726578,80.286804,80.458893,47.319443,4864214
2004-09-28,80.640533,80.927345,80.191208,80.764816,47.499359,4052413
2004-09-29,80.764816,81.242828,80.449333,81.242828,47.780491,4397907
2004-09-30,81.395790,82.198853,81.271507,81.969406,48.207813,5437108
2004-10-01,82.170174,83.154877,82.103249,82.906311,48.758808,4746748
2004-10-04,83.173996,84.225624,82.906311,83.326958,49.006222,5231464
2004-10-05,84.082214,84.158699,83.298279,83.479927,49.096188,5387632
2004-10-06,83.307838,84.225624,83.269600,84.168259,49.501007,4167682
2004-10-07,84.168259,84.225624,83.556404,83.575523,49.152405,3218437
2004-10-08,83.585083,84.043976,82.705544,82.896751,48.753181,4278140
2004-10-11,82.954109,83.365204,82.476097,82.820267,48.708221,3155050
2004-10-12,82.237091,82.409180,81.816444,82.217972,48.353992,4839424
2004-10-13,82.466537,82.676865,80.717018,81.242828,47.780491,6957364
2004-10-14,81.022942,81.242828,80.592735,81.051628,47.668056,4428450
2004-10-15,81.051628,81.500954,80.879539,81.118546,47.707417,6201211
2004-10-18,80.592735,82.361374,80.583176,82.141495,48.309006,7513000
2004-10-19,84.321220,85.783936,84.130020,85.439774,50.248802,14322041
2004-10-20,84.560226,85.267685,84.407265,84.913956,49.939548,7245433
2004-10-21,84.512428,84.856598,83.804970,84.225624,49.534740,6419825
2004-10-22,84.340347,84.560226,83.451241,83.546844,49.135529,6264180
